id_film;url;type_film;multilingues;nationalite;titre;genre;duree;reprise;couleur;note_presse;note_spectateurs;age_acteur;date
2227;http://www.allocine.fr/film/fichefilm_gen_cfilm=2227.html;Long-métrage;TRUE;italien;Violence et Passion;Drame;;TRUE;Couleur;4,5;3,9;98;13/06/2012
2236;http://www.allocine.fr/film/fichefilm_gen_cfilm=2236.html;Long-métrage;FALSE;allemand;Le Testament du docteur Mabuse;Drame;;TRUE;N&B;4,7;3,9;117;12/02/2003
2298;http://www.allocine.fr/film/fichefilm_gen_cfilm=2298.html;Long-métrage;TRUE;italien;Le Pas suspendu de la cigogne;Drame;143;FALSE;Couleur;;3;63;04/12/1991
2313;http://www.allocine.fr/film/fichefilm_gen_cfilm=2313.html;Long-métrage;FALSE;britannique;Quadrophenia;Musical;117;TRUE;Couleur;4;3,7;41;25/06/2001
2325;http://www.allocine.fr/film/fichefilm_gen_cfilm=2325.html;Long-métrage;FALSE;français;Une Femme douce;Drame;;TRUE;Couleur;;3,3;65;06/11/2013
2342;http://www.allocine.fr/film/fichefilm_gen_cfilm=2342.html;Long-métrage;FALSE;allemand;Nosferatu le vampire;Epouvante-horreur;94;TRUE;N&B;;4;41,05145448;23/12/1999
2354;http://www.allocine.fr/film/fichefilm_gen_cfilm=2354.html;Long-métrage;FALSE;français;Ca ne se refuse pas;Drame;90;FALSE;Couleur;;;31;12/08/1998
2409;http://www.allocine.fr/film/fichefilm_gen_cfilm=2409.html;Long-métrage;TRUE;français;Bob le flambeur;Policier;;TRUE;N&B;;3,4;27;25/07/2001
2411;http://www.allocine.fr/film/fichefilm_gen_cfilm=2411.html;Long-métrage;FALSE;français;Jaguar;Documentaire;;TRUE;N&B;;3,3;41,05145448;07/06/2017
2412;http://www.allocine.fr/film/fichefilm_gen_cfilm=2412.html;Long-métrage;FALSE;français;Petit à petit;Comédie;;TRUE;N&B;;;51;07/06/2017
2414;http://www.allocine.fr/film/fichefilm_gen_cfilm=2414.html;Long-métrage;FALSE;français;Moi, un Noir;Comédie dramatique;72;TRUE;Couleur;;3,5;41,05145448;24/06/2005
2415;http://www.allocine.fr/film/fichefilm_gen_cfilm=2415.html;Long-métrage;FALSE;français;La Pyramide humaine;Documentaire;90;FALSE;N&B;;3,4;41,05145448;07/06/2017
2442;http://www.allocine.fr/film/fichefilm_gen_cfilm=2442.html;Long-métrage;FALSE;italien;La Messe est finie;Comédie dramatique;;TRUE;Couleur;;3,3;50;15/01/2003
2497;http://www.allocine.fr/film/fichefilm_gen_cfilm=2497.html;Long-métrage;FALSE;français;Fric-frac;Comédie;102;TRUE;N&B;4;3,9;106;25/02/2009
2512;http://www.allocine.fr/film/fichefilm_gen_cfilm=2512.html;Long-métrage;TRUE;français;Homère, la dernière odyssée;Comédie dramatique;100;FALSE;Couleur;;;68;04/02/1998
2542;http://www.allocine.fr/film/fichefilm_gen_cfilm=2542.html;Long-métrage;FALSE;français;Les Anges du péché;Comédie dramatique;;TRUE;N&B;4;3,5;87;22/11/2006
2694;http://www.allocine.fr/film/fichefilm_gen_cfilm=2694.html;Long-métrage;FALSE;britannique;Le Limier;Thriller;138;TRUE;Couleur;4,4;4,2;94;12/04/2002
2780;http://www.allocine.fr/film/fichefilm_gen_cfilm=2780.html;Long-métrage;FALSE;français;Miquette et sa mère;Comédie;96;TRUE;N&B;;2,8;128;01/11/2016
2832;http://www.allocine.fr/film/fichefilm_gen_cfilm=2832.html;Long-métrage;FALSE;polonais;De la veine à revendre;Drame;;TRUE;N&B;;3,3;71;12/03/2003
2840;http://www.allocine.fr/film/fichefilm_gen_cfilm=2840.html;Long-métrage;FALSE;italien;Les Amies de coeur;Comédie dramatique;110;FALSE;Couleur;;;17;31/03/1993
2856;http://www.allocine.fr/film/fichefilm_gen_cfilm=2856.html;Long-métrage;FALSE;français;Le Jeune Werther;Comédie dramatique;95;FALSE;Couleur;;;41,05145448;31/03/1993
3039;http://www.allocine.fr/film/fichefilm_gen_cfilm=3039.html;Long-métrage;FALSE;italien;Le Désert rouge;Drame;;TRUE;Couleur;5;3,9;74;04/01/2006
3121;http://www.allocine.fr/film/fichefilm_gen_cfilm=3121.html;Long-métrage;FALSE;espagnol;L'Esprit de la ruche;Drame;98;TRUE;Couleur;4,8;3,7;41;21/05/2007
3139;http://www.allocine.fr/film/fichefilm_gen_cfilm=3139.html;Long-métrage;FALSE;français;Un enfant de Calabre;Comédie dramatique;;TRUE;Couleur;;3,1;67;27/09/2000
3177;http://www.allocine.fr/film/fichefilm_gen_cfilm=3177.html;Long-métrage;FALSE;polonais;Train de nuit;Comédie dramatique;102;TRUE;N&B;;3;83;08/03/2007
